language,phrase,date,count,share,period,from_date,to_date,devices
Abap,abap tutorial,2018-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2018-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-07-01T00:00:00Z,30,4.080241355154763e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-08-01T00:00:00Z,22,3.0261244318074836e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-09-01T00:00:00Z,31,3.940556059489895e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-10-01T00:00:00Z,11,1.2433405061907105e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-11-01T00:00:00Z,35,3.943899512343135e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2019-12-01T00:00:00Z,45,4.851349600152547e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-01-01T00:00:00Z,57,5.861762495020629e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-02-01T00:00:00Z,34,3.6980078499326765e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-03-01T00:00:00Z,31,3.15461226455403e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-04-01T00:00:00Z,16,1.3393698810887772e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-05-01T00:00:00Z,14,1.3053971008712532e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-06-01T00:00:00Z,7,7.84889128457782e-08,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2020-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-10-01T00:00:00Z,20,1.7586303012853497e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-11-01T00:00:00Z,12,1.0354602912463718e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2021-12-01T00:00:00Z,17,1.4346721108294157e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2022-01-01T00:00:00Z,17,1.4259530412322877e-07,monthly,2018-01-01,2026-04-30,all
