language,phrase,date,count,share,java_count,relative_to_java,relative_total,share_pct,smoothed_share_pct,count_change_pct
Abap,abap tutorial,2018-01-01,0,0.0,619,0.0,3.7382875605815835,0.0,0.0,
Ada,ada tutorial,2018-01-01,0,0.0,619,0.0,3.7382875605815835,0.0,0.0,
C#,c# tutorial,2018-01-01,0,0.0,619,0.0,3.7382875605815835,0.0,0.0,
C/C++,c++ tutorial,2018-01-01,519,6.681585731838106e-06,619,0.838449,3.7382875605815835,22.4287,22.4287,
Cobol,cobol tutorial,2018-01-01,0,0.0,619,0.0,3.7382875605815835,0.0,0.0,
Dart,dart tutorial,2018-01-01,0,0.0,619,0.0,3.7382875605815835,0.0,0.0,
Delphi/Pascal,delphi tutorial,2018-01-01,18,2.3173129705796897e-07,619,0.029079,3.7382875605815835,0.7779,0.7779,
Go,golang tutorial,2018-01-01,27,3.475969455869535e-07,619,0.043619,3.7382875605815835,1.1668,1.1668,
Groovy,groovy tutorial,2018-01-01,6,7.724376568598966e-08,619,0.009693,3.7382875605815835,0.2593,0.2593,
Haskell,haskell tutorial,2018-01-01,16,2.059833751626391e-07,619,0.025848,3.7382875605815835,0.6914,0.6914,
Java,java tutorial,2018-01-01,619,7.9689818266046e-06,619,1.0,3.7382875605815835,26.7502,26.7502,
JavaScript,javascript tutorial,2018-01-01,108,1.390387782347814e-06,619,0.174475,3.7382875605815835,4.6672,4.6672,
Julia,julia tutorial,2018-01-01,0,0.0,619,0.0,3.7382875605815835,0.0,0.0,
Kotlin,kotlin tutorial,2018-01-01,17,2.188573361103041e-07,619,0.027464,3.7382875605815835,0.7347,0.7347,
Lua,lua tutorial,2018-01-01,24,3.0897506274395866e-07,619,0.038772,3.7382875605815835,1.0372,1.0372,
Matlab,matlab tutorial,2018-01-01,54,6.95193891173907e-07,619,0.087237,3.7382875605815835,2.3336,2.3336,
Objective-C,objective-c tutorial,2018-01-01,0,0.0,619,0.0,3.7382875605815835,0.0,0.0,
PHP,php tutorial,2018-01-01,288,3.707700752927503e-06,619,0.465267,3.7382875605815835,12.446,12.446,
Perl,perl tutorial,2018-01-01,6,7.724376568598966e-08,619,0.009693,3.7382875605815835,0.2593,0.2593,
Powershell,powershell tutorial,2018-01-01,7,9.01177266336546e-08,619,0.011309,3.7382875605815835,0.3025,0.3025,
Python,python tutorial,2018-01-01,299,3.849314323351819e-06,619,0.483037,3.7382875605815835,12.9213,12.9213,
R,r language tutorial,2018-01-01,15,1.931094142149742e-07,619,0.024233,3.7382875605815835,0.6482,0.6482,
Ruby,ruby tutorial,2018-01-01,120,1.5448753137197933e-06,619,0.193861,3.7382875605815835,5.1858,5.1858,
Rust,rust tutorial,2018-01-01,22,2.832271408486288e-07,619,0.035541,3.7382875605815835,0.9507,0.9507,
Scala,scala tutorial,2018-01-01,27,3.475969455869535e-07,619,0.043619,3.7382875605815835,1.1668,1.1668,
Swift,swift tutorial,2018-01-01,94,1.2101523290805046e-06,619,0.151858,3.7382875605815835,4.0622,4.0622,
TypeScript,typescript tutorial,2018-01-01,0,0.0,619,0.0,3.7382875605815835,0.0,0.0,
VBA,vba tutorial,2018-01-01,9,1.1586564852898448e-07,619,0.01454,3.7382875605815835,0.3889,0.3889,
Visual Basic,visual basic tutorial,2018-01-01,19,2.4460525800563396e-07,619,0.030695,3.7382875605815835,0.8211,0.8211,
Zig,zig tutorial,2018-01-01,0,0.0,619,0.0,3.7382875605815835,0.0,0.0,
Abap,abap tutorial,2018-02-01,0,0.0,585,0.0,4.246153846153846,0.0,0.0,
Ada,ada tutorial,2018-02-01,0,0.0,585,0.0,4.246153846153846,0.0,0.0,
C#,c# tutorial,2018-02-01,0,0.0,585,0.0,4.246153846153846,0.0,0.0,
C/C++,c++ tutorial,2018-02-01,493,6.360611335117499e-06,585,0.842735,4.246153846153846,19.847,21.1379,-5.0096
Cobol,cobol tutorial,2018-02-01,0,0.0,585,0.0,4.246153846153846,0.0,0.0,
Dart,dart tutorial,2018-02-01,0,0.0,585,0.0,4.246153846153846,0.0,0.0,
Delphi/Pascal,delphi tutorial,2018-02-01,15,1.9352772824901117e-07,585,0.025641,4.246153846153846,0.6039,0.6909,-16.6667
Go,golang tutorial,2018-02-01,28,3.612517593981542e-07,585,0.047863,4.246153846153846,1.1272,1.147,3.7037
Groovy,groovy tutorial,2018-02-01,0,0.0,585,0.0,4.246153846153846,0.0,0.1296,-100.0
Haskell,haskell tutorial,2018-02-01,19,2.4513512244874744e-07,585,0.032479,4.246153846153846,0.7649,0.7282,18.75
Java,java tutorial,2018-02-01,585,7.547581401711435e-06,585,1.0,4.246153846153846,23.5507,25.1505,-5.4927
JavaScript,javascript tutorial,2018-02-01,108,1.3933996433928803e-06,585,0.184615,4.246153846153846,4.3478,4.5075,0.0
Julia,julia tutorial,2018-02-01,11,1.4192033404927485e-07,585,0.018803,4.246153846153846,0.4428,0.2214,inf
Kotlin,kotlin tutorial,2018-02-01,52,6.70896124596572e-07,585,0.088889,4.246153846153846,2.0934,1.414,205.8824
Lua,lua tutorial,2018-02-01,13,1.67724031149143e-07,585,0.022222,4.246153846153846,0.5233,0.7803,-45.8333
Matlab,matlab tutorial,2018-02-01,21,2.7093881954861564e-07,585,0.035897,4.246153846153846,0.8454,1.5895,-61.1111
Objective-C,objective-c tutorial,2018-02-01,0,0.0,585,0.0,4.246153846153846,0.0,0.0,
PHP,php tutorial,2018-02-01,359,4.631763629426334e-06,585,0.613675,4.246153846153846,14.4525,13.4492,24.6528
Perl,perl tutorial,2018-02-01,19,2.4513512244874744e-07,585,0.032479,4.246153846153846,0.7649,0.5121,216.6667
Powershell,powershell tutorial,2018-02-01,0,0.0,585,0.0,4.246153846153846,0.0,0.1513,-100.0
Python,python tutorial,2018-02-01,435,5.612304119221323e-06,585,0.74359,4.246153846153846,17.5121,15.2167,45.4849
R,r language tutorial,2018-02-01,5,6.450924274967039e-08,585,0.008547,4.246153846153846,0.2013,0.4248,-66.6667
Ruby,ruby tutorial,2018-02-01,64,8.257183071957809e-07,585,0.109402,4.246153846153846,2.5765,3.8812,-46.6667
Rust,rust tutorial,2018-02-01,41,5.289757905472971e-07,585,0.070085,4.246153846153846,1.6506,1.3006,86.3636
Scala,scala tutorial,2018-02-01,23,2.967425166484838e-07,585,0.039316,4.246153846153846,0.9259,1.0464,-14.8148
Swift,swift tutorial,2018-02-01,151,1.9481791310400456e-06,585,0.25812,4.246153846153846,6.0789,5.0706,60.6383
TypeScript,typescript tutorial,2018-02-01,12,1.5482218259920893e-07,585,0.020513,4.246153846153846,0.4831,0.2415,inf
VBA,vba tutorial,2018-02-01,14,1.806258796990771e-07,585,0.023932,4.246153846153846,0.5636,0.4763,55.5556
Visual Basic,visual basic tutorial,2018-02-01,16,2.0642957679894522e-07,585,0.02735,4.246153846153846,0.6441,0.7326,-15.7895
Zig,zig tutorial,2018-02-01,0,0.0,585,0.0,4.246153846153846,0.0,0.0,
Abap,abap tutorial,2018-03-01,0,0.0,614,0.0,5.0814332247557,0.0,0.0,
Ada,ada tutorial,2018-03-01,0,0.0,614,0.0,5.0814332247557,0.0,0.0,
C#,c# tutorial,2018-03-01,0,0.0,614,0.0,5.0814332247557,0.0,0.0,
C/C++,c++ tutorial,2018-03-01,512,6.090477078673597e-06,614,0.833876,5.0814332247557,16.4103,19.562,3.854
Cobol,cobol tutorial,2018-03-01,0,0.0,614,0.0,5.0814332247557,0.0,0.0,
Dart,dart tutorial,2018-03-01,7,8.326824130999058e-08,614,0.011401,5.0814332247557,0.2244,0.0748,inf
Delphi/Pascal,delphi tutorial,2018-03-01,74,8.802642652770433e-07,614,0.120521,5.0814332247557,2.3718,1.2512,393.3333
Go,golang tutorial,2018-03-01,21,2.498047239299717e-07,614,0.034202,5.0814332247557,0.6731,0.989,-25.0
Groovy,groovy tutorial,2018-03-01,8,9.516370435427497e-08,614,0.013029,5.0814332247557,0.2564,0.1719,inf
Haskell,haskell tutorial,2018-03-01,15,1.7843194566426553e-07,614,0.02443,5.0814332247557,0.4808,0.6457,-21.0526
Java,java tutorial,2018-03-01,614,7.303814309190602e-06,614,1.0,5.0814332247557,19.6795,23.3268,4.9573
JavaScript,javascript tutorial,2018-03-01,104,1.2371281566055742e-06,614,0.169381,5.0814332247557,3.3333,4.1161,-3.7037
Julia,julia tutorial,2018-03-01,5,5.947731522142185e-08,614,0.008143,5.0814332247557,0.1603,0.201,-54.5455
Kotlin,kotlin tutorial,2018-03-01,14,1.6653648261998116e-07,614,0.022801,5.0814332247557,0.4487,1.0923,-73.0769
Lua,lua tutorial,2018-03-01,33,3.925502804613842e-07,614,0.053746,5.0814332247557,1.0577,0.8727,153.8462
Matlab,matlab tutorial,2018-03-01,20,2.3790926088568738e-07,614,0.032573,5.0814332247557,0.641,1.2734,-4.7619
Objective-C,objective-c tutorial,2018-03-01,0,0.0,614,0.0,5.0814332247557,0.0,0.0,
PHP,php tutorial,2018-03-01,844,1.0039770809376008e-05,614,1.374593,5.0814332247557,27.0513,17.9833,135.0975
Perl,perl tutorial,2018-03-01,0,0.0,614,0.0,5.0814332247557,0.0,0.3414,-100.0
Powershell,powershell tutorial,2018-03-01,13,1.5464101957569677e-07,614,0.021173,5.0814332247557,0.4167,0.2397,inf
Python,python tutorial,2018-03-01,435,5.1745264242637e-06,614,0.708469,5.0814332247557,13.9423,14.7919,0.0
R,r language tutorial,2018-03-01,11,1.3085009348712804e-07,614,0.017915,5.0814332247557,0.3526,0.4007,120.0
Ruby,ruby tutorial,2018-03-01,99,1.1776508413841526e-06,614,0.161238,5.0814332247557,3.1731,3.6451,54.6875
Rust,rust tutorial,2018-03-01,36,4.282366695942373e-07,614,0.058632,5.0814332247557,1.1538,1.2517,-12.1951
Scala,scala tutorial,2018-03-01,23,2.735956500185405e-07,614,0.037459,5.0814332247557,0.7372,0.9433,0.0
Swift,swift tutorial,2018-03-01,172,2.0460196436169112e-06,614,0.28013,5.0814332247557,5.5128,5.218,13.9073
TypeScript,typescript tutorial,2018-03-01,21,2.498047239299717e-07,614,0.034202,5.0814332247557,0.6731,0.3854,75.0
VBA,vba tutorial,2018-03-01,12,1.4274555653141246e-07,614,0.019544,5.0814332247557,0.3846,0.4457,-14.2857
Visual Basic,visual basic tutorial,2018-03-01,27,3.2117750219567796e-07,614,0.043974,5.0814332247557,0.8654,0.7769,68.75
Zig,zig tutorial,2018-03-01,0,0.0,614,0.0,5.0814332247557,0.0,0.0,
Abap,abap tutorial,2018-04-01,0,0.0,552,0.0,5.3351449275362315,0.0,0.0,
Ada,ada tutorial,2018-04-01,0,0.0,552,0.0,5.3351449275362315,0.0,0.0,
C#,c# tutorial,2018-04-01,0,0.0,552,0.0,5.3351449275362315,0.0,0.0,
C/C++,c++ tutorial,2018-04-01,557,7.350503381131524e-06,552,1.009058,5.3351449275362315,18.9134,19.3998,8.7891
Cobol,cobol tutorial,2018-04-01,0,0.0,552,0.0,5.3351449275362315,0.0,0.0,
Dart,dart tutorial,2018-04-01,0,0.0,552,0.0,5.3351449275362315,0.0,0.0561,-100.0
Delphi/Pascal,delphi tutorial,2018-04-01,26,3.431114684190659e-07,552,0.047101,5.3351449275362315,0.8829,1.1591,-64.8649
Go,golang tutorial,2018-04-01,28,3.695046582974555e-07,552,0.050725,5.3351449275362315,0.9508,0.9795,33.3333
Groovy,groovy tutorial,2018-04-01,4,5.2786379756779355e-08,552,0.007246,5.3351449275362315,0.1358,0.1629,-50.0
Haskell,haskell tutorial,2018-04-01,16,2.1114551902711745e-07,552,0.028986,5.3351449275362315,0.5433,0.6201,6.6667
Java,java tutorial,2018-04-01,552,7.284520406435551e-06,552,1.0,5.3351449275362315,18.7436,22.181,-10.0977
JavaScript,javascript tutorial,2018-04-01,100,1.319659493919484e-06,552,0.181159,5.3351449275362315,3.3956,3.936,-3.8462
Julia,julia tutorial,2018-04-01,0,0.0,552,0.0,5.3351449275362315,0.0,0.1508,-100.0
Kotlin,kotlin tutorial,2018-04-01,26,3.431114684190659e-07,552,0.047101,5.3351449275362315,0.8829,1.0399,85.7143
Lua,lua tutorial,2018-04-01,37,4.882740127502089e-07,552,0.067029,5.3351449275362315,1.2564,0.9686,12.1212
Matlab,matlab tutorial,2018-04-01,61,8.049922912908851e-07,552,0.110507,5.3351449275362315,2.0713,1.4728,205.0
Objective-C,objective-c tutorial,2018-04-01,0,0.0,552,0.0,5.3351449275362315,0.0,0.0,
PHP,php tutorial,2018-04-01,797,1.0517686166538286e-05,552,1.443841,5.3351449275362315,27.0628,20.2531,-5.5687
Perl,perl tutorial,2018-04-01,0,0.0,552,0.0,5.3351449275362315,0.0,0.256,
Powershell,powershell tutorial,2018-04-01,12,1.5835913927033805e-07,552,0.021739,5.3351449275362315,0.4075,0.2817,-7.6923
Python,python tutorial,2018-04-01,465,6.1364166467256e-06,552,0.842391,5.3351449275362315,15.7895,15.0413,6.8966
R,r language tutorial,2018-04-01,0,0.0,552,0.0,5.3351449275362315,0.0,0.3005,-100.0
Ruby,ruby tutorial,2018-04-01,87,1.148103759709951e-06,552,0.157609,5.3351449275362315,2.9542,3.4724,-12.1212
Rust,rust tutorial,2018-04-01,9,1.1876935445275357e-07,552,0.016304,5.3351449275362315,0.3056,1.0152,-75.0
Scala,scala tutorial,2018-04-01,24,3.167182785406761e-07,552,0.043478,5.3351449275362315,0.8149,0.9112,4.3478
Swift,swift tutorial,2018-04-01,104,1.3724458736762631e-06,552,0.188406,5.3351449275362315,3.5314,4.7963,-39.5349
TypeScript,typescript tutorial,2018-04-01,6,7.917956963516904e-08,552,0.01087,5.3351449275362315,0.2037,0.34,-71.4286
VBA,vba tutorial,2018-04-01,8,1.0557275951355872e-07,552,0.014493,5.3351449275362315,0.2716,0.4022,-33.3333
Visual Basic,visual basic tutorial,2018-04-01,26,3.431114684190659e-07,552,0.047101,5.3351449275362315,0.8829,0.8034,-3.7037
Zig,zig tutorial,2018-04-01,0,0.0,552,0.0,5.3351449275362315,0.0,0.0,
Abap,abap tutorial,2018-05-01,0,0.0,666,0.0,4.033033033033033,0.0,0.0,
Ada,ada tutorial,2018-05-01,0,0.0,666,0.0,4.033033033033033,0.0,0.0,
C#,c# tutorial,2018-05-01,0,0.0,666,0.0,4.033033033033033,0.0,0.0,
C/C++,c++ tutorial,2018-05-01,624,8.30497766075003e-06,666,0.936937,4.033033033033033,23.2316,20.1662,12.0287
Cobol,cobol tutorial,2018-05-01,0,0.0,666,0.0,4.033033033033033,0.0,0.0,
Dart,dart tutorial,2018-05-01,6,7.985555443028876e-08,666,0.009009,4.033033033033033,0.2234,0.0895,inf
Delphi/Pascal,delphi tutorial,2018-05-01,19,2.528759223625811e-07,666,0.028529,4.033033033033033,0.7074,1.0688,-26.9231
Go,golang tutorial,2018-05-01,35,4.658240675100178e-07,666,0.052553,4.033033033033033,1.3031,1.0442,25.0
Groovy,groovy tutorial,2018-05-01,13,1.730203679322923e-07,666,0.01952,4.033033033033033,0.484,0.2271,225.0
Haskell,haskell tutorial,2018-05-01,27,3.593499949362994e-07,666,0.040541,4.033033033033033,1.0052,0.6971,68.75
Java,java tutorial,2018-05-01,666,8.863966541762052e-06,666,1.0,4.033033033033033,24.7952,22.7039,20.6522
